soil_type,pH,nitrogen,phosphorus,potassium,organic_carbon,ec,rainfall,temperature,plant
Loamy,7.28,434,47,392,0.45,2.86,682.54,30.83,Neem
Loamy,6.68,405,47,69,0.98,2.01,829.72,32.54,Neem
Sandy,7.64,268,20,341,0.59,2.99,727.25,30.82,Neem
Loamy,6.19,228,58,270,1.01,0.73,756.78,34.25,Neem
Alluvial,6.73,670,7,207,0.94,3.03,3384.41,16.51,Banyan
Loamy,7.02,203,26,308,0.96,1.49,1994.25,29.01,Banyan
Loamy,7.48,200,49,169,0.74,2.42,2668.13,28.19,Banyan
Loamy,7.43,163,55,209,0.34,2.3,2168.11,21.38,Banyan
Alluvial,7.7,112,56,384,0.94,1.63,1731.07,18.57,Banyan
Alluvial,7.03,126,45,100,0.46,1.35,2204.43,26.23,Banyan
Loamy,6.76,264,28,370,0.62,3.35,2913.49,26.82,Banyan
Loamy,6.19,430,15,279,0.81,1.56,2952.71,26.58,Banyan
Alluvial,6.99,443,21,156,0.78,0.15,1815.21,23.79,Banyan
Alluvial,6.96,237,14,363,0.97,1.28,2634.51,25.51,Banyan
Loamy,7.42,354,31,315,0.36,1.63,3199.89,19.0,Banyan
Alluvial,7.14,530,53,329,0.61,1.76,2754.38,30.21,Banyan
Loamy,7.43,676,46,75,0.43,0.91,1927.66,15.89,Banyan
Alluvial,6.86,509,32,353,1.05,2.81,1196.63,27.15,Banyan
Loamy,8.28,241,57,323,0.41,1.81,1877.32,19.55,Banyan
Loamy,6.84,471,29,101,1.03,0.72,1812.83,32.38,Banyan
Loamy,6.72,551,31,273,0.82,1.98,2315.41,28.31,Banyan
Loamy,7.2,393,47,259,1.03,1.08,3174.71,17.05,Banyan
Loamy,6.04,300,49,107,0.52,2.37,3012.57,22.97,Banyan
Loamy,7.13,456,38,319,0.32,3.36,779.75,24.12,Banyan
Loamy,7.93,443,50,212,0.87,1.57,2043.15,14.86,Banyan
Loamy,7.64,354,14,330,0.72,3.13,1932.5,19.87,Banyan
Alluvial,7.26,123,8,263,0.57,2.52,2046.43,26.54,Banyan
Alluvial,6.6,479,31,206,0.45,2.81,1927.76,27.55,Banyan
Alluvial,6.64,283,30,222,0.84,0.35,2356.76,19.75,Banyan
Alluvial,6.06,661,13,57,0.72,1.8,1933.0,25.26,Banyan
Loamy,8.01,500,36,86,0.49,3.47,2130.04,36.28,Banyan
Alluvial,7.23,153,17,313,0.56,3.03,2498.05,29.94,Banyan
Loamy,7.04,447,29,88,0.47,0.77,2042.74,20.91,Banyan
Loamy,6.58,652,54,132,1.19,2.92,1283.41,24.1,Banyan
Alluvial,7.46,134,60,91,0.66,0.58,2353.78,23.9,Banyan
Alluvial,7.53,411,31,195,1.18,2.17,3108.05,26.81,Banyan
Loamy,6.94,327,59,261,0.78,1.3,1985.74,19.73,Banyan
Loamy,7.32,405,17,395,1.15,2.84,3346.5,20.97,Banyan
Loamy,7.18,296,35,149,0.64,2.21,779.95,20.07,Banyan
Loamy,6.5,388,43,207,0.73,2.12,2800.45,14.45,Banyan
Alluvial,7.3,547,16,109,0.8,2.7,2701.91,26.43,Banyan
Loamy,7.35,278,60,390,1.2,0.73,1738.48,24.3,Banyan
Alluvial,7.03,115,40,123,1.17,1.2,2334.96,16.55,Banyan
Loamy,6.67,219,15,277,0.4,1.2,1662.7,24.19,Banyan
Loamy,7.16,670,52,217,1.05,0.34,1522.94,25.51,Banyan
Loamy,6.67,525,34,206,0.89,1.73,2668.15,27.84,Banyan
Loamy,7.3,543,20,316,0.86,1.8,2226.39,32.42,Banyan
Alluvial,7.14,306,37,394,0.82,2.82,3132.99,24.2,Banyan
Alluvial,7.14,108,30,73,1.12,0.79,2341.62,21.59,Banyan
Loamy,6.65,498,45,156,1.06,0.86,2464.02,25.05,Banyan
Loamy,7.38,539,13,112,1.07,0.32,2075.68,22.68,Banyan
Alluvial,6.58,263,35,205,0.62,2.74,2722.7,19.64,Banyan
Loamy,7.61,474,23,321,0.69,2.4,1448.36,20.01,Banyan
Alluvial,7.1,321,25,329,1.04,3.48,1871.23,28.98,Banyan
Alluvial,6.86,378,33,271,0.62,2.94,1927.17,28.16,Banyan
Alluvial,6.68,208,5,352,0.79,1.73,2138.46,18.81,Banyan
Alluvial,7.2,642,21,325,0.75,0.73,2972.3,20.01,Banyan
Loamy,7.25,612,37,188,1.0,2.08,2905.88,20.57,Banyan
Alluvial,7.8,387,46,330,0.74,0.69,2005.28,19.36,Banyan
Alluvial,7.19,357,50,347,0.34,2.45,2179.44,17.26,Banyan
Alluvial,6.93,269,54,277,0.89,3.35,2188.71,15.58,Banyan
Alluvial,7.11,239,32,177,0.62,0.26,2493.63,24.17,Banyan
Alluvial,7.71,135,39,295,0.54,0.39,2172.95,24.57,Banyan
Alluvial,7.29,261,31,266,1.06,0.84,1722.82,30.66,Banyan
Loamy,8.29,669,60,162,0.56,2.01,2406.13,22.44,Banyan
Alluvial,7.9,495,24,225,0.49,0.35,2483.99,16.39,Banyan
Alluvial,7.32,419,38,125,1.18,2.77,2591.16,25.08,Banyan
Alluvial,6.59,445,44,85,0.32,1.16,3538.28,17.2,Banyan
Loamy,7.25,440,29,348,0.89,1.25,2889.24,16.14,Banyan
Loamy,6.97,211,41,321,1.02,0.61,1540.93,17.96,Banyan
Loamy,7.27,223,59,246,0.74,2.06,2416.24,21.86,Banyan
Loamy,7.07,191,15,356,0.36,0.78,2080.93,16.55,Banyan
Loamy,7.59,458,57,350,0.6,1.85,2255.81,27.75,Banyan
Alluvial,7.79,189,40,315,0.91,2.51,2033.86,26.79,Banyan
Alluvial,6.91,424,7,185,1.12,1.42,2372.1,13.8,Banyan
Loamy,7.02,693,10,225,0.44,0.75,2937.0,22.96,Banyan
Loamy,7.02,449,46,272,0.41,1.5,2714.14,26.19,Banyan
Alluvial,7.5,314,22,351,1.02,1.23,1457.62,31.81,Banyan
Alluvial,8.04,664,59,189,0.86,1.3,3003.39,27.13,Banyan
Alluvial,7.14,252,29,125,0.82,1.17,3625.79,25.37,Banyan
Loamy,7.01,581,54,238,0.69,0.15,1894.53,21.27,Banyan
Loamy,6.78,181,11,173,0.99,1.77,2158.56,22.98,Banyan
Alluvial,7.19,618,39,171,0.7,1.49,2770.13,32.51,Banyan
Alluvial,7.42,160,58,194,0.56,3.22,2683.74,22.86,Banyan
Loamy,6.5,693,48,99,0.53,3.41,1392.43,26.3,Banyan
Loamy,6.48,205,52,263,0.58,2.71,1647.93,25.02,Banyan
Loamy,7.25,385,23,319,0.89,0.18,2969.77,20.88,Banyan
Alluvial,7.5,295,24,351,0.34,1.59,2852.9,27.34,Banyan
Loamy,7.11,690,54,348,0.85,2.92,1762.92,21.7,Banyan
Loamy,7.24,110,57,373,0.76,2.75,1795.45,16.8,Banyan
Alluvial,7.28,370,25,137,0.71,2.09,1509.83,28.67,Banyan
Alluvial,7.4,501,28,395,0.54,1.91,2072.2,27.27,Banyan
Alluvial,6.95,220,35,255,1.06,1.47,2264.0,20.18,Banyan
Loamy,7.63,324,46,126,0.84,0.29,2181.84,19.88,Banyan
Loamy,7.63,650,58,218,0.54,2.34,1818.06,26.32,Banyan
Alluvial,7.07,671,57,349,1.11,3.35,2387.64,24.29,Banyan
Loamy,7.07,390,28,202,0.52,2.31,3327.65,28.77,Banyan
Loamy,7.35,132,14,246,0.57,1.77,3109.5,14.38,Banyan
Alluvial,7.45,250,44,208,1.2,0.99,2898.11,29.62,Banyan
Loamy,6.84,448,28,378,0.61,3.18,2570.73,29.41,Banyan
Loamy,6.48,522,48,257,0.74,2.03,1847.61,21.18,Banyan
Loamy,6.89,284,33,391,1.06,2.29,956.8,27.81,Banyan
Loamy,6.79,537,53,358,0.7,1.09,2013.48,28.13,Banyan
Alluvial,7.8,612,6,245,0.3,2.73,2511.7,24.27,Banyan
Loamy,7.14,571,37,178,0.32,3.1,1217.09,24.69,Banyan
Alluvial,6.64,178,58,84,1.08,2.31,2849.94,14.5,Banyan
Alluvial,7.28,403,17,330,1.13,2.42,2572.84,26.61,Banyan
Loamy,7.46,280,26,228,1.03,1.09,1549.36,28.76,Banyan
Alluvial,7.21,395,29,56,0.52,0.92,2598.23,30.89,Banyan
Loamy,6.5,497,24,267,1.15,3.37,2911.67,24.73,Banyan
Alluvial,7.49,513,15,143,1.14,0.76,2786.08,23.33,Banyan
Loamy,7.59,422,17,377,0.68,2.25,1852.74,24.22,Banyan
Loamy,7.71,700,28,134,0.69,1.5,2658.51,24.34,Banyan
Alluvial,7.15,173,41,125,0.4,2.95,1248.47,21.54,Banyan
Alluvial,7.44,289,8,134,1.02,2.01,2091.33,29.32,Banyan
Loamy,7.51,695,56,267,0.64,1.11,2970.73,31.81,Banyan
Loamy,7.86,330,27,278,0.5,2.42,1872.12,15.91,Banyan
Alluvial,7.5,199,15,217,1.07,0.62,3011.35,20.39,Banyan
Loamy,6.89,113,56,249,1.05,2.56,2385.02,28.29,Banyan
Alluvial,6.61,313,27,176,0.75,3.02,2748.38,28.2,Banyan
Alluvial,7.15,619,54,284,0.37,0.28,2284.08,22.04,Banyan
Loamy,6.82,533,7,211,0.55,2.07,2410.27,22.67,Banyan
Loamy,7.14,646,23,52,1.16,0.67,2373.29,31.32,Banyan
Alluvial,6.92,280,21,378,0.42,0.39,1625.67,17.34,Banyan
Alluvial,6.75,124,25,226,0.67,2.91,2112.48,18.89,Banyan
Alluvial,7.28,323,25,323,0.82,1.43,3223.64,27.94,Banyan
Loamy,8.53,458,29,381,0.95,1.22,1985.98,31.24,Banyan
Loamy,7.65,283,26,229,0.59,3.44,2224.21,22.79,Banyan
Alluvial,7.41,484,7,136,1.03,0.11,590.59,26.19,Banyan
Alluvial,7.5,309,33,383,0.48,1.48,2188.27,18.54,Banyan
Loamy,7.24,423,52,131,0.8,1.43,2532.23,28.35,Banyan
Alluvial,7.82,355,51,90,0.43,3.22,3147.02,24.22,Banyan
Loamy,7.25,689,52,338,0.81,2.87,984.1,20.24,Banyan
Alluvial,6.75,352,38,288,0.97,2.52,2578.35,26.54,Banyan
Loamy,7.18,673,52,396,0.48,2.24,3062.64,21.96,Banyan
Loamy,7.16,634,21,212,0.97,3.03,1817.81,18.63,Banyan
Loamy,7.19,254,51,90,1.18,3.07,821.05,19.91,Banyan
Alluvial,7.61,229,30,299,0.97,3.16,1898.47,20.33,Banyan
Alluvial,7.3,435,12,164,0.89,0.77,1454.58,22.46,Banyan
Loamy,7.71,545,60,333,0.34,1.28,2973.35,31.8,Banyan
Loamy,7.51,323,7,160,0.42,1.92,2780.1,26.98,Banyan
Loamy,6.78,230,42,269,1.14,1.77,1552.16,28.42,Banyan
Alluvial,6.66,486,50,336,0.3,1.84,2826.96,18.08,Banyan
Alluvial,7.27,554,25,312,0.77,0.3,2227.94,20.97,Banyan
Loamy,7.16,650,37,94,0.32,3.14,1531.5,26.88,Banyan
Loamy,7.08,276,16,223,0.32,2.13,1799.88,14.97,Banyan
Loamy,7.15,675,6,199,0.53,1.57,1787.77,23.84,Banyan
Loamy,8.02,593,6,240,1.01,2.22,1922.97,23.02,Banyan
Alluvial,7.48,180,22,100,0.91,3.27,1725.97,23.3,Banyan
Alluvial,7.62,229,20,377,0.33,0.91,3061.91,23.05,Banyan
Loamy,6.86,318,57,285,0.83,1.03,3427.81,19.7,Banyan
Alluvial,7.44,558,48,193,0.87,2.04,2684.13,18.9,Banyan
Alluvial,7.44,341,48,189,0.56,2.92,1997.45,26.33,Banyan
Alluvial,7.83,446,41,144,0.81,0.49,2157.47,20.52,Banyan
Loamy,7.34,457,28,276,0.37,3.38,3346.05,34.77,Banyan
Alluvial,6.68,498,6,175,0.56,3.07,1349.61,25.15,Banyan
Loamy,7.09,205,28,296,0.46,2.41,1035.82,25.81,Banyan
Loamy,6.48,257,19,282,0.86,1.45,1740.37,25.25,Banyan
Alluvial,7.53,509,16,193,1.13,3.3,2601.78,29.69,Banyan
Loamy,7.26,535,30,264,0.86,2.96,919.72,23.41,Banyan
Loamy,7.18,384,22,160,0.57,2.78,1909.62,29.88,Banyan
Loamy,7.06,618,31,103,1.11,1.7,2169.14,33.04,Banyan
Alluvial,7.34,106,17,288,0.57,1.9,3207.12,18.49,Banyan
Loamy,7.56,302,60,149,0.62,0.4,1815.09,22.6,Banyan
Loamy,7.43,497,39,118,0.85,2.54,1940.83,26.17,Banyan
Alluvial,7.14,505,12,116,1.01,0.48,2866.6,26.33,Banyan
Loamy,6.93,505,9,91,1.05,1.21,1945.58,27.56,Banyan
Alluvial,6.97,664,25,73,1.03,2.98,3306.25,26.9,Banyan
Alluvial,7.64,345,58,168,1.17,2.17,1454.94,26.72,Banyan
Alluvial,7.63,101,56,323,1.14,3.08,3071.2,26.38,Banyan
Loamy,7.4,609,33,394,1.19,2.32,2018.27,26.9,Banyan
Alluvial,6.75,544,60,397,0.44,2.13,2739.5,25.99,Banyan
Alluvial,7.04,214,49,139,0.36,2.71,2457.44,23.57,Banyan
Loamy,7.45,383,51,400,0.79,2.29,1617.18,36.08,Banyan
Alluvial,7.81,266,14,358,0.55,2.31,2649.47,25.78,Banyan
Alluvial,7.85,547,59,105,1.0,0.14,2474.52,24.98,Banyan
Alluvial,7.35,680,9,214,0.76,3.18,2101.28,26.96,Banyan
Alluvial,6.65,129,54,229,0.44,3.37,2119.75,20.77,Banyan
Alluvial,7.46,624,35,174,0.83,1.44,2066.51,28.45,Banyan
Alluvial,6.75,205,22,337,0.93,1.78,1820.94,21.54,Banyan
Alluvial,7.24,135,49,368,0.34,3.32,1883.67,28.42,Banyan
Loamy,7.26,197,20,136,0.88,2.13,2374.23,25.79,Banyan
Loamy,7.06,129,31,300,0.73,1.77,2217.46,19.06,Banyan
Loamy,7.26,592,38,265,0.37,1.4,2126.87,23.47,Banyan
Loamy,6.45,436,53,165,0.53,2.46,1708.17,27.23,Banyan
Alluvial,7.88,270,36,119,0.51,0.26,2361.48,27.19,Banyan
Alluvial,7.26,207,6,64,0.63,1.81,3361.4,17.77,Banyan
Loamy,7.41,695,18,102,0.34,0.64,1922.37,28.86,Banyan
Alluvial,7.59,655,48,250,0.79,3.27,2553.05,30.32,Banyan
Loamy,7.58,559,44,258,0.43,1.09,2704.01,31.59,Banyan
Loamy,7.32,288,57,357,0.86,0.38,3404.1,33.3,Banyan
Loamy,7.66,133,21,339,1.04,2.13,2317.13,17.64,Banyan
Alluvial,6.57,126,42,135,0.7,1.66,965.85,20.83,Banyan
Alluvial,7.62,144,22,99,0.59,1.97,2170.88,32.67,Banyan
Loamy,7.8,667,45,230,1.06,1.01,2054.53,27.9,Banyan
Alluvial,6.92,339,52,324,0.46,3.09,2744.58,19.5,Banyan
Loamy,7.12,414,57,159,0.77,3.21,2559.38,27.4,Banyan
Loamy,6.45,311,13,293,0.67,2.82,2503.7,24.61,Banyan
Loamy,7.21,349,17,192,0.53,2.19,2333.73,31.91,Banyan
Alluvial,7.6,534,39,358,0.77,0.87,1918.31,26.34,Banyan
Alluvial,7.43,542,32,198,0.56,0.83,1275.75,28.07,Banyan
Alluvial,7.16,617,40,292,0.67,2.44,2617.85,24.12,Banyan
Alluvial,7.35,251,9,128,0.45,0.82,2571.2,24.32,Banyan
Alluvial,7.32,127,12,189,0.73,0.26,2304.73,31.15,Banyan
Alluvial,7.86,321,51,55,0.54,1.84,2808.0,23.43,Banyan
Alluvial,7.09,600,42,291,0.36,1.05,3250.52,27.41,Banyan
Alluvial,6.89,564,19,154,1.07,0.25,2229.23,24.83,Banyan
Alluvial,7.32,617,53,65,0.79,1.34,2791.64,28.66,Banyan
Loamy,6.67,625,56,132,1.05,2.05,2025.88,17.24,Banyan
Loamy,6.89,250,21,326,0.42,2.88,2809.61,24.38,Banyan
Alluvial,6.92,431,56,165,0.54,2.56,3298.78,22.27,Banyan
Alluvial,7.68,398,12,358,0.35,3.29,1862.54,30.27,Banyan
Loamy,6.6,523,16,389,1.19,1.76,1472.34,34.14,Banyan
Loamy,6.86,131,28,54,0.37,1.73,1567.32,27.0,Banyan
Alluvial,7.37,633,42,127,0.67,3.32,3120.16,23.52,Banyan
Loamy,7.26,252,25,98,0.48,0.6,1835.86,28.1,Banyan
Loamy,7.42,491,16,287,0.45,0.88,1586.69,20.14,Banyan
Loamy,7.62,297,29,383,0.35,0.94,2481.62,28.66,Banyan
Alluvial,6.65,639,12,63,0.63,2.14,2588.8,29.36,Banyan
Loamy,7.3,413,24,75,0.95,0.89,2959.45,27.58,Banyan
Alluvial,6.84,509,12,58,0.62,0.2,2019.18,20.56,Banyan
Alluvial,6.89,170,20,138,1.01,2.15,2601.78,38.18,Banyan
Alluvial,7.17,209,16,58,0.8,1.41,2578.9,31.39,Banyan
Loamy,6.64,251,45,233,0.51,1.53,2433.51,24.27,Banyan
Alluvial,6.95,480,7,321,0.37,3.46,2146.92,22.36,Banyan
Alluvial,6.68,646,45,305,0.76,3.37,2283.66,17.88,Banyan
Loamy,7.88,684,49,122,0.47,3.01,3034.07,29.79,Banyan
Alluvial,7.8,589,50,304,1.06,1.48,1902.97,27.78,Banyan
Alluvial,6.49,414,17,338,0.69,0.56,2319.98,26.92,Banyan
Loamy,7.34,597,16,391,1.17,1.67,1887.96,23.93,Banyan
Loamy,8.0,124,60,70,1.09,1.68,2474.56,25.27,Banyan
Loamy,6.95,631,38,200,0.85,1.26,1620.22,13.09,Banyan
Loamy,7.09,175,32,76,1.01,1.95,2549.36,33.68,Banyan
Alluvial,7.52,628,35,119,1.11,1.25,1219.48,22.58,Banyan
Alluvial,7.21,314,49,74,0.55,0.2,2338.62,27.43,Banyan
Loamy,6.55,153,38,177,0.59,1.92,3211.56,23.05,Banyan
Alluvial,7.91,349,21,303,1.16,0.78,2331.6,22.78,Banyan
Loamy,6.99,559,31,387,0.84,2.16,1561.85,18.52,Banyan
Alluvial,7.43,519,14,265,0.62,1.58,2229.48,22.12,Banyan
Alluvial,7.12,407,48,223,0.65,1.7,1967.84,20.89,Banyan
Loamy,6.8,607,30,344,0.54,3.08,1704.46,27.33,Banyan
Alluvial,7.1,563,30,104,1.06,2.81,1827.3,26.39,Banyan
Alluvial,7.34,130,16,311,0.56,2.33,2129.33,17.38,Banyan
Loamy,6.8,387,17,122,0.63,2.77,2302.01,18.94,Banyan
Alluvial,7.02,572,50,253,0.3,2.52,2417.66,26.39,Banyan
Loamy,6.83,419,60,211,0.36,3.21,2161.9,27.22,Banyan
Alluvial,7.34,408,12,127,1.11,2.52,2075.95,25.31,Banyan
Loamy,6.6,201,47,137,1.0,1.65,2687.08,30.02,Banyan
Loamy,7.03,441,21,104,0.4,0.83,2216.55,27.44,Banyan
Alluvial,7.98,273,39,116,0.49,3.41,1772.25,28.09,Banyan
Loamy,6.93,135,17,193,0.82,2.78,2824.27,31.59,Banyan
Loamy,6.83,400,15,384,0.42,2.98,1926.11,30.16,Banyan
Loamy,6.95,566,16,394,1.13,0.63,2107.02,31.99,Banyan
Loamy,6.32,197,45,133,1.13,3.01,2077.62,18.23,Banyan
Alluvial,7.21,353,34,380,0.48,1.45,2529.91,20.85,Banyan
Alluvial,7.32,638,45,207,1.11,3.38,1766.85,20.18,Banyan
Loamy,7.89,483,30,195,1.04,3.11,1983.97,19.77,Banyan
Alluvial,6.91,570,5,341,0.33,1.74,1281.23,24.21,Banyan
Loamy,8.12,604,41,110,0.68,2.96,1596.56,28.38,Banyan
Alluvial,7.73,355,6,336,0.41,0.48,2254.39,22.77,Banyan
Loamy,7.5,673,46,343,0.78,2.26,2600.42,17.45,Banyan
Alluvial,7.03,321,23,299,0.49,1.13,1874.98,24.52,Banyan
Alluvial,7.09,197,12,288,1.17,3.24,2591.57,34.48,Banyan
Alluvial,7.01,287,35,130,0.66,1.4,1683.42,30.07,Banyan
Alluvial,7.37,480,42,91,0.62,2.46,1882.0,30.13,Banyan
Loamy,6.81,498,32,292,0.48,0.25,2007.2,23.54,Banyan
Alluvial,7.24,501,44,349,0.69,1.18,2343.18,33.47,Banyan
Alluvial,7.11,131,48,278,0.82,1.26,2423.67,25.23,Banyan
Loamy,7.28,318,48,373,1.12,2.4,2528.06,38.87,Banyan
Loamy,6.78,534,56,255,0.47,2.58,2720.57,25.21,Banyan
Alluvial,7.92,257,30,80,1.03,1.81,1924.57,26.68,Banyan
Alluvial,7.29,235,33,301,1.18,0.72,1631.06,26.02,Banyan
Loamy,7.52,343,53,333,0.43,1.85,1723.72,29.95,Banyan
Alluvial,7.04,557,37,287,0.82,3.1,2638.44,27.77,Banyan
Alluvial,6.97,536,54,187,0.59,2.91,2962.47,28.77,Banyan
Loamy,7.23,643,26,289,0.31,0.34,2984.39,17.42,Banyan
Alluvial,7.39,334,22,358,1.08,3.0,2297.77,23.44,Banyan
Loamy,6.84,191,35,159,0.69,1.84,2225.75,24.68,Banyan
Loamy,7.68,184,10,229,1.06,0.95,1616.22,19.38,Banyan
Loamy,7.33,418,21,124,0.59,0.34,1755.59,18.56,Banyan
Loamy,7.56,659,60,380,1.09,2.25,2125.37,17.28,Banyan
Loamy,7.12,411,10,257,0.63,1.48,1609.6,15.28,Banyan
Loamy,7.08,574,19,364,1.08,3.2,1821.2,30.74,Banyan
Loamy,6.89,259,59,97,0.85,2.67,3547.83,19.96,Banyan
Loamy,7.54,418,39,264,0.94,1.9,2467.65,27.89,Banyan
Loamy,7.31,230,43,261,1.14,1.63,2739.21,23.83,Banyan
Loamy,7.27,181,10,199,0.33,1.45,1809.16,23.16,Banyan
Loamy,7.99,463,47,374,0.39,0.95,2028.19,29.16,Banyan
Alluvial,6.85,499,37,383,1.16,1.24,1920.31,19.5,Banyan
Alluvial,7.17,340,60,332,0.7,1.62,1607.28,28.34,Banyan
Loamy,8.52,323,44,91,0.36,2.84,2778.38,30.7,Banyan
Alluvial,7.46,385,12,107,0.38,3.02,2071.23,22.39,Banyan
Loamy,6.98,268,9,203,0.97,2.87,1659.98,27.43,Banyan
Loamy,6.75,579,35,128,0.65,2.06,3106.71,28.14,Banyan
Loamy,7.72,627,11,160,0.99,1.25,2546.12,26.51,Banyan
Alluvial,7.27,643,24,89,1.06,3.09,2189.65,32.51,Banyan
Alluvial,6.89,675,60,50,1.02,0.78,2984.89,24.8,Banyan
Alluvial,6.72,591,53,96,0.88,3.35,2407.0,29.59,Banyan
Alluvial,7.23,389,28,104,0.38,2.98,2266.52,29.44,Banyan
Alluvial,7.22,518,28,397,0.63,2.48,1634.04,19.94,Banyan
Alluvial,7.06,610,25,237,0.82,2.28,2594.74,29.61,Banyan
Alluvial,7.14,648,42,231,0.83,2.41,3666.65,26.61,Banyan
Loamy,7.23,460,15,209,0.58,2.35,2821.57,30.75,Banyan
Alluvial,6.91,178,27,301,0.88,1.03,2914.69,26.13,Banyan
Loamy,7.07,231,51,179,0.91,1.66,3229.42,22.56,Banyan
Alluvial,7.12,544,10,377,1.11,1.53,1895.9,32.5,Banyan
Loamy,6.7,333,25,299,1.02,1.31,949.51,23.57,Banyan
Loamy,7.45,566,29,117,0.61,1.96,2933.56,20.21,Banyan
Alluvial,6.77,253,7,115,0.68,0.44,2193.24,24.78,Banyan
Alluvial,7.71,489,22,265,0.95,2.06,2272.59,25.31,Banyan
Loamy,7.22,584,57,187,0.59,0.39,986.4,24.75,Banyan
Loamy,6.63,301,29,111,0.85,1.19,2140.46,19.79,Banyan
Alluvial,7.19,294,30,295,1.07,1.45,1742.92,34.11,Banyan
Loamy,6.72,424,38,107,1.2,0.74,2726.89,24.11,Banyan
Loamy,7.85,620,45,192,0.84,1.02,2113.0,33.65,Banyan
Alluvial,7.76,507,16,377,0.66,3.28,2961.13,21.48,Banyan
Loamy,7.19,520,40,92,1.06,2.65,2082.69,19.45,Banyan
Loamy,7.32,617,50,397,0.94,3.44,2242.48,27.66,Banyan
Alluvial,7.22,602,28,313,0.34,0.49,2251.4,31.36,Banyan
Loamy,7.12,301,48,129,0.34,2.93,2540.99,28.15,Banyan
Loamy,7.3,359,9,89,0.83,3.31,2878.07,35.11,Banyan
Alluvial,6.92,139,55,63,0.65,3.47,1896.35,19.7,Banyan
Alluvial,8.13,206,30,118,1.0,0.63,2134.1,19.3,Banyan
Alluvial,6.64,165,17,184,1.12,1.78,2766.03,21.34,Banyan
Alluvial,6.86,470,27,329,0.9,0.57,2860.52,23.71,Banyan
Alluvial,6.9,690,6,252,0.43,1.8,2398.63,30.61,Banyan
Alluvial,7.72,263,43,397,0.87,2.67,2588.76,26.91,Banyan
Alluvial,7.19,549,10,292,0.65,1.02,2747.81,26.71,Banyan
Loamy,7.62,190,33,92,0.91,2.3,2882.56,27.03,Banyan
Loamy,7.32,504,14,197,0.53,1.44,2401.84,24.1,Banyan
Loamy,7.5,478,18,74,0.8,2.41,2798.27,30.6,Banyan
Alluvial,7.53,408,49,50,0.35,3.26,2051.85,13.55,Banyan
Alluvial,7.58,451,13,254,0.35,2.69,2535.76,24.8,Banyan
Loamy,6.85,650,24,259,1.12,2.06,3140.3,17.66,Banyan
Alluvial,7.5,414,53,127,0.68,1.75,1916.69,19.7,Banyan
Loamy,7.56,204,9,352,0.63,2.05,2146.93,19.4,Banyan
Loamy,7.1,275,23,73,0.89,2.58,2096.3,23.86,Banyan
Alluvial,6.8,327,49,293,0.68,2.14,2724.84,18.33,Banyan
Loamy,7.0,111,38,211,0.74,1.45,2757.21,31.45,Banyan
Alluvial,7.49,204,56,146,0.78,1.0,2179.22,12.46,Banyan
Loamy,7.43,468,28,288,0.97,3.3,2493.9,28.14,Banyan
Loamy,6.98,116,39,389,0.35,2.77,2869.63,30.89,Banyan
Loamy,7.53,246,42,275,0.8,0.41,1543.91,26.09,Banyan
Alluvial,6.77,562,56,289,0.43,2.58,1922.43,27.17,Banyan
Loamy,6.88,483,44,94,0.85,1.64,2194.38,17.82,Banyan
Alluvial,7.36,688,33,356,0.45,2.81,3241.15,27.0,Banyan
Alluvial,7.21,118,43,333,1.02,1.08,1657.85,32.01,Banyan
Loamy,7.96,297,16,119,0.38,1.42,2253.83,15.59,Banyan
Alluvial,7.9,674,37,297,0.57,1.25,2871.07,31.39,Banyan
Alluvial,7.29,185,12,91,0.81,1.78,1846.28,29.0,Banyan
Loamy,7.21,478,22,293,0.93,2.92,883.89,17.59,Banyan
Loamy,7.76,645,51,225,0.85,0.97,1799.73,31.07,Banyan
Alluvial,6.96,553,30,358,1.05,1.17,2489.79,18.91,Banyan
Alluvial,7.04,559,59,144,0.88,3.47,972.32,17.52,Banyan
Alluvial,7.23,325,5,136,0.7,3.13,2603.96,24.56,Banyan
Alluvial,7.0,300,33,241,0.38,1.79,2853.01,19.14,Banyan
Loamy,7.42,555,39,363,0.69,0.39,1912.86,21.0,Banyan
Alluvial,6.65,601,37,55,0.73,3.18,1293.96,24.97,Banyan
Loamy,7.78,307,9,227,0.82,2.88,1773.45,16.02,Banyan
Loamy,8.3,337,42,166,0.83,0.92,3407.93,29.44,Banyan
Alluvial,6.75,262,13,110,1.03,1.24,3059.63,26.08,Banyan
Alluvial,7.36,150,6,138,0.87,1.13,1664.77,18.89,Banyan
Alluvial,7.05,631,41,136,0.57,1.77,2682.36,29.06,Banyan
Alluvial,7.56,281,45,390,0.48,0.73,2105.11,27.62,Banyan
Loamy,6.76,111,15,229,1.17,1.76,2461.72,24.49,Banyan
Alluvial,7.34,624,27,182,1.07,2.99,2650.27,13.6,Banyan
Alluvial,6.97,670,59,240,0.85,1.9,2277.79,27.5,Banyan
Loamy,7.15,161,23,207,0.66,0.71,3026.44,26.23,Banyan
Alluvial,7.07,434,55,93,0.39,3.41,2060.5,23.88,Banyan
Alluvial,7.24,102,42,180,0.57,0.92,1589.01,23.8,Banyan
Alluvial,7.2,134,44,163,0.82,0.63,2027.02,29.21,Banyan
Alluvial,7.01,218,45,80,0.96,2.32,2236.4,21.3,Banyan
